alinea,alinea1,amendements1Signataire,amendementsMoins10Signataires,amendementsPlus10Signataires,article,book,chapter,code-part,law,lawType,paragraph,section,section1,sentence,text,texteLegislatif,texteLegislatifArticle,title,year
7° bis order: 7,,9,0,4,L225-1-1,,,,,,,,,,au 7° bis de l’article L. 225-1-1,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L225-1-1 indirect: (relative: 0),,,,,,,,,,du même article L. 225-1-1,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,2,La seconde phrase du premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,du deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,3,la troisième phrase du premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,1,La première phrase du deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code des transports,code,,,,,Le code des transports,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code des juridictions financières,code,,,,,du code des juridictions financières,PLFSS pour 2020,ARTICLE 10,,2019
4,,9,0,4,,,,,,,,,,,du quatrième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
5,,9,0,4,,,,,,,,,,,Le cinquième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,Au deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,"code des pensions de retraite des marins français du commerce, de pêche ou de plaisance",code,,,,,"du code des pensions de retraite des marins français du commerce, de pêche ou de plaisance",PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,Le second alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,,,indirect: (relative: 0),,,,du même paragraphe,PLFSS pour 2020,ARTICLE 10,,2019
4,,9,0,4,,,,,,,,,,,au quatrième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,2,la seconde phrase du premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,3,la troisième phrase du premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,indirect: (relative: 0),,,,,,,,,,Le présent article,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code des transports,code,,,,,du code des transports,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code des transports,code,,,,,du code des transports,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
5,,9,0,4,,,,,,,,,,,Le cinquième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code des juridictions financières,code,,,,,du code des juridictions financières,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L135-6,,,,indirect: (relative: 0),code,,,,,l’article L. 135-6 du même code,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,Constitution,constitution,,,,,la Constitution,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 10,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,,,,,,1,la première phrase,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,,,,,,indirect: -1,la dernière phrase,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,indirect: (relative: 0),,,,,,,,,,aux mêmes articles,PLFSS pour 2020,ARTICLE 11,,2019
1,,4,0,0,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 11,,2019
indirect: -1,,4,0,0,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,livre des procédures fiscales,code,,,,,du livre des procédures fiscales,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 11,,2019
1,,4,0,0,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 11,,2019
II order: 2,,4,0,0,,,,,,,,,,,au II,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 11,,2019
,,4,0,0,,,,,indirect: (relative: 0),loi,,,,,la présente loi,PLFSS pour 2020,ARTICLE 11,,2019
XVII order: 17,,4,0,0,,,,,,,,,,,Le XVII,PLFSS pour 2020,ARTICLE 11,,2019
1,,4,0,0,,,,,,,,,,,Le premier alinéa,PLFSS pour 2020,ARTICLE 11,,2019
indirect: -1,,4,0,0,,,,,,,,,,,Le dernier alinéa,PLFSS pour 2020,ARTICLE 11,,2019
,,3,0,0,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,indirect: (relative: 0),,,,,,,,,,au présent article,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 12,,2019
a order: a,,3,0,0,,,,,,,,,,,au a,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 12,,2019
I order: 1,,3,0,0,indirect: (relative: 0),,,,,,,,,,du I du présent article,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,L7232-6,,,,code du travail,code,,,,,l’article L. 7232-6 du code du travail,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 12,,2019
,,3,0,0,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 12,,2019
,,0,0,11,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 13,,2019
1,,0,0,11,,,,,,,,,,,Le premier alinéa,PLFSS pour 2020,ARTICLE 13,,2019
2,,0,0,11,,,,,,,,,,,au second alinéa,PLFSS pour 2020,ARTICLE 13,,2019
,,0,0,11,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 13,,2019
2,,0,0,11,,,,,,,,,,2,la seconde phrase du deuxième alinéa,PLFSS pour 2020,ARTICLE 13,,2019
,,0,0,11,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 13,,2019
2,,0,0,11,,,,,,,,,,,au second alinéa,PLFSS pour 2020,ARTICLE 13,,2019
,,0,0,11,,,,,,,,,,2,La seconde phrase,PLFSS pour 2020,ARTICLE 13,,2019
III order: 3,,0,0,11,L243-6-2,,,,,,,,,,Au III de l’article L. 243-6-2,PLFSS pour 2020,ARTICLE 13,,2019
,,0,0,11,,,,,,,,,,2,La seconde phrase,PLFSS pour 2020,ARTICLE 13,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 14,,2019
1,,4,0,0,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 14,,2019
2,,4,0,0,,,,,,,,,,indirect: -1,la dernière phrase du second alinéa,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 14,,2019
1,,4,0,0,L243-7,,,,,,,,,2,la deuxième phrase du premier alinéa de l’article L. 243-7,PLFSS pour 2020,ARTICLE 14,,2019
1,,4,0,0,L243-7-6,,,,,,,,,2,la seconde phrase du premier alinéa de l’article L. 243-7-6,PLFSS pour 2020,ARTICLE 14,,2019
2,,4,0,0,L243-15,,,,,,,,,,Au deuxième alinéa de l’article L. 243-15,PLFSS pour 2020,ARTICLE 14,,2019
1,,4,0,0,,,,,,,,,,1,La première phrase du premier alinéa,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,indirect: (relative: 0),,,,,,,,du présent chapitre,PLFSS pour 2020,ARTICLE 14,,2019
1,,4,0,0,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 14,,2019
1,,4,0,0,,,,,,,,,,2,la seconde phrase du premier alinéa,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 14,,2019
,,4,0,0,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 14,,2019
,,5,1,5,,Ier,,,code de la sécurité sociale,code,,,,,Le livre Ier du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,indirect: (relative: 0),,,,,,,,,,au présent article,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,,,,,code de la santé publique,code,,,,,du code de la santé publique,PLFSS pour 2020,ARTICLE 15,,2019
1,,5,1,5,indirect: (relative: 0),,,,,,,,,,au premier alinéa du présent article,PLFSS pour 2020,ARTICLE 15,,2019
1,,5,1,5,indirect: (relative: 0),,,,,,,,,,au premier alinéa du présent article,PLFSS pour 2020,ARTICLE 15,,2019
,,5,1,5,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 15,,2019
