alinea,alinea1,alinea2,article,auteur,auteurType,book,chapter,code-part,etat,groupePolitique,law,lawType,paragraph,section,section1,sentence,sort,text,texteLegislatifUid,title,uid,year
I order: 1,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
II order: 2,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code rural,code,,,,,Non soutenu,du code rural,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
I order: 1,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
II order: 2,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
V order: 5,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,au V,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
I order: 1,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,au I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,87,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,des articles 87 et 88,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,88,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,des articles 87 et 88,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,575,Anthoine Emmanuelle,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,575 A,Anthoine Emmanuelle,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000076,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000076,2019
2° order: 2,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,du 2°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000076,2019
I order: 1,,,indirect: (relative: 0),Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,du I du présent article,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000076,2019
3° order: 3,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,au 3°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000076,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code du travail,code,,,,,Non soutenu,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000076,2019
3° order: 3,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,Le 3°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000079,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000079,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,le code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000079,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,indirect: (relative: 0),code,,,,,Non soutenu,du même code,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000079,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
I order: 1,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,au I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
I order: 1,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,au I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
2,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,le second alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
I order: 1,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,du I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
I order: 1,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
II order: 2,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code rural,code,,,,,Non soutenu,du code rural,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
I order: 1,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
II order: 2,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,aux I et II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
V order: 5,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,au V,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
I order: 1,,,,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,au I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,87,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,des articles 87 et 88,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,88,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,des articles 87 et 88,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,575,Bazin-Malgras Valérie,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,575 A,Bazin-Malgras Valérie,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000083,2019
,,,,Ramos Richard,Député,indirect: 1,,order: 2,,Dem,code général des impôts,code,,,,,Adopté,la deuxième partie du livre premier du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000095,2019
indirect: (relative: -1),,,,Ramos Richard,Député,,,,,Dem,,,,,,,Adopté,du précédent alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000095,2019
indirect: (relative: -1),,,,Ramos Richard,Député,,,,,Dem,,,,,,,Adopté,au précédent alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000095,2019
I order: 1,1,,,Dharréville Pierre,Député,,,,,GDR,,,,,,2,Rejeté,la seconde phrase du premier alinéa du I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000096,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000096,2019
,,,,Christophe Paul,Député,,,,,Agir ens,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000097,2019
,,,575,Christophe Paul,Député,,,,,Agir ens,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000097,2019
,,,575 A,Christophe Paul,Député,,,,,Agir ens,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000097,2019
,,,,Lurton Gilles,Député,,,,,,,,,,,2,Retiré,la deuxième phrase,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000098,2019
,,,,Vanceunebrock Laurence,Député,,,,,LaREM,code de la santé publique,code,,,,,Rejeté,du code de la santé publique,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000101,2019
,,,,Vanceunebrock Laurence,Député,,,,,LaREM,code de la santé publique,code,,,,,Rejeté,du code de la santé publique,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000101,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000112,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code du travail,code,,,,,Rejeté,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000112,2019
2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,1,Rejeté,La première phrase du second alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000113,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000113,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Retiré,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000121,2019
II order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Retiré,le II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000121,2019
III order: 3,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Retiré,au III,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000121,2019
I order: 1,1,,,Dharréville Pierre,Député,,,,,GDR,,,,,,2,Retiré,la seconde phrase du premier alinéa du I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000121,2019
III order: 3,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Retiré,Le III,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000121,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la santé publique,code,,,,,Rejeté,du code de la santé publique,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000125,2019
2° order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,au 2°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000125,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000125,2019
,,,indirect: (relative: 0),Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,du présent article,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000125,2019
,,,,Dharréville Pierre,Député,,,,,GDR,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000126,2019
,,,,Dharréville Pierre,Député,,,,,GDR,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000127,2019
,,,,Dharréville Pierre,Député,,,,,GDR,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000130,2019
,,,,Dharréville Pierre,Député,,,,,GDR,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000132,2019
2° order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,Au 2°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000133,2019
II order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,du II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000133,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000133,2019
,,,575,Dharréville Pierre,Député,,,,,GDR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000133,2019
,,,575 A,Dharréville Pierre,Député,,,,,GDR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000133,2019
2° order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,du 2°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000134,2019
II order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,du II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000134,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000134,2019
1° order: 1,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,Le 1°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000135,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de l’action sociale et des familles,code,,,,,Rejeté,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000135,2019
II order: 2,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,Le II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000136,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000136,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000137,2019
1,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,4,Rejeté,la quatrième phrase du premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000138,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code général des impôts,code,,,,,Rejeté,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000138,2019
I order: 1,,,,Dharréville Pierre,Député,,,,,GDR,,,,,,,Rejeté,Le I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000138,2019
,,,575,Dharréville Pierre,Député,,,,,GDR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000138,2019
,,,575 A,Dharréville Pierre,Député,,,,,GDR,code général des impôts,code,,,,,Rejeté,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000138,2019
,,,,Dharréville Pierre,Député,II,II,,,GDR,code de la sécurité sociale,code,,3,,,Rejeté,la section 3 du chapitre II du titre IV du livre II du code de la sécurité sociale,PRJLANR5L15B2296,IV,AMANR5L15PO420120B2296P0D1N000139,2019
,,,,Dharréville Pierre,Député,,,,,GDR,code de commerce,code,,,,,Rejeté,du code de commerce,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000139,2019
